,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,total acidity,quality
fixed acidity,1.0,-0.2561,0.6717,0.1148,0.0937,-0.1538,-0.1132,0.668,-0.683,0.183,-0.0617,0.9964,0.1241
volatile acidity,-0.2561,1.0,-0.5525,0.0019,0.0613,-0.0105,0.0765,0.022,0.2349,-0.261,-0.2023,-0.2044,-0.3906
citric acid,0.6717,-0.5525,1.0,0.1436,0.2038,-0.061,0.0355,0.3649,-0.5419,0.3128,0.1099,0.6904,0.2264
residual sugar,0.1148,0.0019,0.1436,1.0,0.0556,0.187,0.203,0.3553,-0.0857,0.0055,0.0421,0.1245,0.0137
chlorides,0.0937,0.0613,0.2038,0.0556,1.0,0.0056,0.0474,0.2006,-0.265,0.3713,-0.2211,0.1167,-0.1289
free sulfur dioxide,-0.1538,-0.0105,-0.061,0.187,0.0056,1.0,0.6677,-0.0219,0.0704,0.0517,-0.0694,-0.1536,-0.0507
total sulfur dioxide,-0.1132,0.0765,0.0355,0.203,0.0474,0.6677,1.0,0.0713,-0.0665,0.0429,-0.2057,-0.0963,-0.1851
density,0.668,0.022,0.3649,0.3553,0.2006,-0.0219,0.0713,1.0,-0.3417,0.1485,-0.4962,0.6756,-0.1749
pH,-0.683,0.2349,-0.5419,-0.0857,-0.265,0.0704,-0.0665,-0.3417,1.0,-0.1966,0.2056,-0.6835,-0.0577
sulphates,0.183,-0.261,0.3128,0.0055,0.3713,0.0517,0.0429,0.1485,-0.1966,1.0,0.0936,0.1816,0.2514
alcohol,-0.0617,-0.2023,0.1099,0.0421,-0.2211,-0.0694,-0.2057,-0.4962,0.2056,0.0936,1.0,-0.0667,0.4762
total acidity,0.9964,-0.2044,0.6904,0.1245,0.1167,-0.1536,-0.0963,0.6756,-0.6835,0.1816,-0.0667,1.0,0.1038
quality,0.1241,-0.3906,0.2264,0.0137,-0.1289,-0.0507,-0.1851,-0.1749,-0.0577,0.2514,0.4762,0.1038,1.0
